province_id,name,id
01,Quận Ba Đình,001
01,Quận Hoàn Kiếm,002
01,Quận Tây Hồ,003
01,Quận Long Biên,004
01,Quận Cầu Giấy,005
01,Quận Đống Đa,006
01,Quận Hai Bà Trưng,007
01,Quận Hoàng Mai,008
01,Quận Thanh Xuân,009
01,Huyện Sóc Sơn,016
01,Huyện Đông Anh,017
01,Huyện Gia Lâm,018
01,Quận Nam Từ Liêm,019
01,Huyện Thanh Trì,020
01,Quận Bắc Từ Liêm,021
01,Huyện Mê Linh,250
01,Quận Hà Đông,268
01,Thị xã Sơn Tây,269
01,Huyện Ba Vì,271
01,Huyện Phúc Thọ,272
01,Huyện Đan Phượng,273
01,Huyện Hoài Đức,274
01,Huyện Quốc Oai,275
01,Huyện Thạch Thất,276
01,Huyện Chương Mỹ,277
01,Huyện Thanh Oai,278
01,Huyện Thường Tín,279
01,Huyện Phú Xuyên,280
01,Huyện Ứng Hòa,281
01,Huyện Mỹ Đức,282
02,Thành phố Hà Giang,024
02,Huyện Đồng Văn,026
02,Huyện Mèo Vạc,027
02,Huyện Yên Minh,028
02,Huyện Quản Bạ,029
02,Huyện Vị Xuyên,030
02,Huyện Bắc Mê,031
02,Huyện Hoàng Su Phì,032
02,Huyện Xín Mần,033
02,Huyện Bắc Quang,034
02,Huyện Quang Bình,035
04,Thành phố Cao Bằng,040
04,Huyện Bảo Lâm,042
04,Huyện Bảo Lạc,043
04,Huyện Hà Quảng,045
04,Huyện Trùng Khánh,047
04,Huyện Hạ Lang,048
04,Huyện Quảng Hòa,049
04,Huyện Hoà An,051
04,Huyện Nguyên Bình,052
04,Huyện Thạch An,053
06,Thành Phố Bắc Kạn,058
06,Huyện Pác Nặm,060
06,Huyện Ba Bể,061
06,Huyện Ngân Sơn,062
06,Huyện Bạch Thông,063
06,Huyện Chợ Đồn,064
06,Huyện Chợ Mới,065
06,Huyện Na Rì,066
08,Thành phố Tuyên Quang,070
08,Huyện Lâm Bình,071
08,Huyện Na Hang,072
08,Huyện Chiêm Hóa,073
08,Huyện Hàm Yên,074
08,Huyện Yên Sơn,075
08,Huyện Sơn Dương,076
10,Thành phố Lào Cai,080
10,Huyện Bát Xát,082
10,Huyện Mường Khương,083
10,Huyện Si Ma Cai,084
10,Huyện Bắc Hà,085
10,Huyện Bảo Thắng,086
10,Huyện Bảo Yên,087
10,Thị xã Sa Pa,088
10,Huyện Văn Bàn,089
11,Thành phố Điện Biên Phủ,094
11,Thị Xã Mường Lay,095
11,Huyện Mường Nhé,096
11,Huyện Mường Chà,097
11,Huyện Tủa Chùa,098
11,Huyện Tuần Giáo,099
11,Huyện Điện Biên,100
11,Huyện Điện Biên Đông,101
11,Huyện Mường Ảng,102
11,Huyện Nậm Pồ,103
12,Thành phố Lai Châu,105
12,Huyện Tam Đường,106
12,Huyện Mường Tè,107
12,Huyện Sìn Hồ,108
12,Huyện Phong Thổ,109
12,Huyện Than Uyên,110
12,Huyện Tân Uyên,111
